Elapsed time;/
18:39:49,500;117.0
18:39:56,500;22.0
18:40:03,500;18.0
18:40:10,500;20.0
18:40:17,500;17.0
18:40:24,500;18.0
18:40:31,500;18.0
18:40:38,500;16.0
18:40:45,500;18.0
18:40:52,500;19.0
18:40:59,500;18.0
18:41:07,0;18.0
18:41:14,0;17.0
18:41:21,0;16.0
18:41:28,0;18.0
18:41:35,0;19.0
18:41:42,0;17.0
18:41:49,0;17.0
18:41:56,0;15.0
18:42:03,0;18.0
18:42:10,0;18.0
18:42:17,0;18.0
18:42:24,0;16.0
18:42:31,0;18.0
18:42:38,0;17.0
18:42:45,0;16.0
18:42:52,0;18.0
18:42:59,0;17.0
18:43:06,500;16.0
18:43:13,500;18.0
18:43:20,500;18.0
18:43:27,500;16.0
18:43:34,500;17.0
18:43:41,500;18.0
18:43:48,500;16.0
18:43:55,500;17.0
18:44:02,500;16.0
18:44:09,500;17.0
18:44:16,500;17.0
18:44:23,500;16.0
18:44:30,500;17.0
18:44:37,500;16.0
18:44:44,500;19.0
18:44:51,500;17.0
18:44:58,500;18.0
18:45:05,500;18.0
18:45:13,0;17.0
18:45:20,0;15.0
18:45:27,0;18.0
18:45:34,0;15.0
18:45:41,0;16.0
18:45:48,0;17.0
18:45:55,0;14.0
18:46:02,0;18.0
18:46:09,0;15.0
18:46:16,0;17.0
18:46:23,0;15.0
18:46:30,0;15.0
18:46:37,0;16.0
18:46:44,0;16.0
18:46:51,0;18.0
18:46:58,0;16.0
18:47:05,0;17.0
18:47:12,0;17.0
18:47:19,0;16.0
18:47:26,0;17.0
18:47:33,500;15.0
18:47:40,500;16.0
18:47:47,500;16.0
18:47:54,500;15.0
18:48:01,500;18.0
18:48:08,500;17.0
18:48:15,500;17.0
18:48:22,500;17.0
18:48:29,500;17.0
18:48:36,500;18.0
18:48:43,500;17.0
18:48:50,500;15.0
18:48:57,500;16.0
18:49:04,500;16.0
18:49:11,500;15.0
18:49:18,500;17.0
18:49:25,500;15.0
18:49:32,500;15.0
18:49:39,500;17.0
18:49:47,0;16.0
18:49:54,0;16.0
18:50:01,0;16.0
18:50:08,0;16.0
18:50:15,0;17.0
18:50:22,0;15.0
18:50:29,0;17.0
18:50:36,0;17.0
18:50:43,0;14.0
18:50:50,0;15.0
18:50:57,0;16.0
18:51:04,0;16.0
18:51:11,0;16.0
18:51:18,0;15.0
18:51:25,0;15.0
18:51:32,0;16.0
18:51:39,0;16.0
18:51:46,0;16.0
18:51:53,0;15.0
18:52:00,0;16.0
18:52:07,500;17.0
18:52:14,500;15.0
18:52:21,500;17.0
18:52:28,500;15.0
18:52:35,500;15.0
18:52:42,500;15.0
18:52:49,500;16.0
18:52:56,500;15.0
18:53:03,500;16.0
18:53:10,500;17.0
18:53:17,500;15.0
18:53:24,500;15.0
18:53:31,500;16.0
18:53:38,500;15.0
18:53:45,500;16.0
18:53:52,500;16.0
18:53:59,500;16.0
18:54:06,500;14.0
18:54:13,500;14.0
18:54:20,500;14.0
18:54:27,500;15.0
18:54:35,0;16.0
18:54:42,0;16.0
18:54:49,0;15.0
18:54:56,0;16.0
18:55:03,0;14.0
18:55:10,0;16.0
18:55:17,0;15.0
18:55:24,0;14.0
18:55:31,0;15.0
18:55:38,0;15.0
18:55:45,0;15.0
18:55:52,0;14.0
18:55:59,0;14.0
18:56:06,0;14.0
18:56:13,0;15.0
18:56:20,0;16.0
18:56:27,0;15.0
18:56:34,0;16.0
18:56:41,0;16.0
18:56:48,0;16.0
18:56:55,0;16.0
18:57:02,500;15.0
18:57:09,500;17.0
18:57:16,500;15.0
18:57:23,500;15.0
18:57:30,500;15.0
18:57:37,500;15.0
18:57:44,500;16.0
18:57:51,500;13.0
18:57:58,500;15.0
18:58:05,500;15.0
18:58:12,500;16.0
18:58:19,500;16.0
18:58:26,500;16.0
18:58:33,500;15.0
18:58:40,500;16.0
18:58:47,500;16.0
18:58:54,500;16.0
18:59:01,500;15.0
18:59:08,500;14.0
18:59:15,500;14.0
18:59:23,0;14.0
18:59:30,0;14.0
18:59:37,0;15.0
18:59:44,0;16.0
18:59:51,0;14.0
18:59:58,0;15.0
