Elapsed time;/;/?SHOPPING_ID;/best-sellers;/buy-confirm;/buy?RETURNING_FLAG=N;/buy?RETURNING_FLAG=Y;/customer-registration?SHOPPING_ID=;/new-products;/order-inquiry;/product-detail;/search;/search?C_ID;/search?searchField=&keyword=&C_ID=;/shopping-cart?ADD_FLAG=N;/shopping-cart?I_ID=&QTY=1&ADD_FLAG=Y
16:36:14,0;278.0;;;;;;;;;;;;;;
16:36:21,0;105.0;;;;;;;;;;;;;;
16:36:28,500;103.0;;;;;;;;;;;;;;
16:36:35,500;78.0;;;;;;;;;;;;;;
16:36:42,500;77.0;;;;;;;;;;;;;;
16:36:49,500;;;;;;;;;;;;13.0;;;
16:36:56,500;;;;;;;;61.0;;;;;;;
16:37:03,500;69.0;;;;;;;;;;;;;;
16:37:11,0;;;298.0;;;;;;;;;;;;
16:37:18,0;;;;;;;;;;55.0;;;;;
16:37:25,0;;;;;;;;92.0;;;;;;;
16:37:32,500;;;279.0;;;;;;;;;;;;
16:37:39,500;;;;;;;;;;;;;9.0;;
16:37:46,500;;;;;;;;;;;;;10.0;;
16:37:53,500;;;;;;;;;5.0;;;;;;
16:38:00,500;;;;;;;;;;;9.0;;;;
16:38:07,500;;;;;;;;;;;;;13.0;;
16:38:15,0;134.0;;;;;;;;;;;;;;
16:38:22,0;;;;;;;;;;;;9.0;;;
16:38:29,0;;;;;;;;;;;;12.0;;;
16:38:36,0;;;;;;;;;;;;;;;112.0
16:38:43,0;;;;;;;;;;;;;8.0;;
16:38:50,0;;;;;;;;;;69.0;;;;;
16:38:57,0;;13.0;;;;;;;;;;;;;
16:39:04,0;;;;;;;;;;;7.0;;;;
16:39:11,0;;15.0;;;;;;;;;;;;;
16:39:18,0;;;;;;;;;;;;;;;62.0
16:39:25,0;;;;;;;;;;;;;9.0;;
16:39:32,0;;;;;;;;;;39.0;;;;;
16:39:39,500;;10.0;;;;;;;;;;;;;
16:39:46,500;;;;;;;;;;;;8.0;;;
16:39:53,500;;;;;;;;;;42.0;;;;;
16:40:00,500;;;;;;;;;;;;8.0;;;
16:40:07,500;;;;;;;;85.0;;;;;;;
16:40:14,500;;;;;;;;;;;;9.0;;;
16:40:21,500;;;;;;;;80.0;;;;;;;
16:40:28,500;;;;;;;;;;;8.0;;;;
16:40:35,500;;;;;;;;;;;;;13.0;;
16:40:42,500;;;;;;;;;;39.0;;;;;
16:40:49,500;;;;;;;;;;;9.0;;;;
16:40:56,500;;;;;;;;;;;;10.0;;;
16:41:03,500;;;;;;;;;;;;;11.0;;
16:41:10,500;;;;;;;;;;;;;9.0;;
16:41:15,500;83.0;;;;;;;;;;;;;;
16:41:16,500;87.0;;;;;;;;;;;;;;
16:41:17,500;78.0;;;;;;;;;;;;9.0;;
16:41:18,500;80.0;;;;;;;;;;;;;;
16:41:19,500;79.0;;;;;;;;;;;;;;
16:41:20,500;94.0;;;;;;;;;;;;;;
16:41:21,500;103.0;;;;;;;;;;;;;;
16:41:22,500;79.0;;;;;;;;;;;;;;
16:41:23,500;70.0;;;;;;;;;;;;;;
16:41:24,500;70.0;;;;;;;;;;8.0;;;;
16:41:25,0;;;256.0;;;;;;;;;;;;
16:41:25,500;145.0;;;;;;;110.0;;;;;;;
16:41:26,500;106.0;;;;;;;;;;;;6.0;;
16:41:27,500;72.0;;;;;;;;;;;6.0;;;
16:41:28,500;85.0;;;;;;;;;;;;7.0;;
16:41:29,500;86.5;;;;;;;;;;;7.0;;;
16:41:30,500;102.0;;;;;;;69.0;2.0;;;;;;
16:41:31,500;52.5;;;;;;;;;;;;;;
16:41:32,0;58.0;12.0;;;;;;;;;;;;;
16:41:32,500;95.0;;;;;;;;;31.0;;6.0;;;
16:41:33,500;76.5;;;;;;;;;;;;5.0;;
16:41:34,500;65.0;;;;;;;;;31.0;;;7.0;;
16:41:35,500;71.66666666666667;;;;;;;;;;;;;;
16:41:36,500;78.5;;;;;;;;;;;12.0;;;
16:41:37,0;57.0;;;;;;;;;;;;;;
16:41:37,500;64.0;;;;;;;;2.0;26.0;5.0;;;;
16:41:38,500;92.0;;;;;;;;;41.0;;;;;
16:41:39,0;72.0;;;;;;;;;25.0;;;;;
16:41:39,500;87.0;;;;6.0;;;;;;;;;;
