Elapsed time;/
20:25:59,0;196.0
20:26:06,0;56.0
20:26:13,0;45.0
20:26:20,0;47.0
20:26:27,0;43.0
20:26:34,0;42.0
20:26:41,500;43.0
20:26:48,500;39.0
20:26:55,500;43.0
20:27:02,500;43.0
20:27:09,500;43.0
20:27:16,500;32.0
20:27:23,500;30.0
20:27:30,500;34.0
20:27:38,0;37.0
20:27:45,0;38.0
20:27:52,0;37.0
20:27:59,0;35.0
20:28:06,0;34.0
20:28:13,0;30.0
20:28:20,0;31.0
20:28:27,0;31.0
20:28:34,0;27.0
20:28:41,500;29.0
20:28:48,500;30.0
20:28:55,500;38.0
20:29:02,500;30.0
20:29:09,500;29.0
20:29:16,500;27.0
20:29:23,500;25.0
20:29:30,500;40.0
20:29:37,500;27.0
20:29:44,500;26.0
20:29:51,500;24.0
20:29:59,0;23.0
20:30:06,0;24.0
20:30:13,0;35.0
20:30:20,0;25.0
20:30:27,0;25.0
20:30:34,0;25.0
20:30:41,0;25.0
20:30:48,0;25.0
20:30:55,0;23.0
20:31:02,0;26.0
20:31:09,0;24.0
20:31:16,0;32.0
20:31:23,500;22.0
20:31:30,500;24.0
20:31:37,500;22.0
20:31:44,500;25.0
20:31:51,500;22.0
20:31:58,500;25.0
20:32:05,500;20.0
20:32:12,500;24.0
20:32:19,500;45.0
20:32:26,500;26.0
20:32:33,500;20.0
20:32:40,500;25.0
20:32:47,500;23.0
20:32:55,0;22.0
20:33:02,0;24.0
20:33:09,0;22.0
20:33:16,0;19.0
20:33:23,0;20.0
20:33:30,0;21.0
20:33:37,0;21.0
20:33:44,0;19.0
20:33:51,0;21.0
20:33:58,0;19.0
20:34:05,0;19.0
20:34:12,0;23.0
20:34:19,0;20.0
20:34:26,0;21.0
20:34:33,0;20.0
20:34:40,500;20.0
20:34:47,500;19.0
20:34:54,500;19.0
20:35:01,500;20.0
20:35:08,500;21.0
20:35:15,500;19.0
20:35:22,500;21.0
20:35:29,500;19.0
20:35:36,500;18.0
20:35:43,500;18.0
20:35:50,500;18.0
20:35:57,500;20.0
20:36:04,500;19.0
20:36:11,500;20.0
20:36:18,500;20.0
20:36:25,500;15.0
20:36:33,0;21.0
20:36:40,0;19.0
20:36:47,0;19.0
20:36:54,0;22.0
20:37:01,0;19.0
20:37:08,0;23.0
20:37:15,0;20.0
20:37:22,0;19.0
20:37:29,0;18.0
20:37:36,0;19.0
20:37:43,0;23.0
20:37:50,0;18.0
20:37:57,0;19.0
20:38:04,0;19.0
20:38:11,0;26.0
20:38:18,0;19.0
20:38:25,0;17.0
20:38:32,500;19.0
20:38:39,500;19.0
