Elapsed time;/;/?SHOPPING_ID;/best-sellers;/buy-confirm;/buy?RETURNING_FLAG=N;/buy?RETURNING_FLAG=Y;/customer-registration?SHOPPING_ID=;/new-products;/order-inquiry;/product-detail;/search;/search?C_ID;/search?searchField=&keyword=&C_ID=;/shopping-cart?ADD_FLAG=N;/shopping-cart?I_ID=&QTY=1&ADD_FLAG=Y
19:09:46,0;353.0;;;;;;;;;;;;;;
19:09:53,500;;;;;6.0;;;;;;;;;;
19:10:00,500;;;;;;;;;;;;7.0;;;
19:10:07,500;;;;;;;;;;19.0;;;;;
19:10:14,500;;;;;;;;;;;5.0;;;;
19:10:21,500;29.0;;;;;;;;;;;;;;
19:10:28,500;;;;;;;;;;;;;5.0;;
19:10:35,500;;;;;;;;;;;6.0;;;;
19:10:42,500;;;186.0;;;;;;;;;;;;
19:10:50,0;;;;;;;;18.0;;;;;;;
19:10:57,0;;;;;;;;;;;;5.0;;;
19:11:04,0;27.0;;;;;;;;;;;;;;
19:11:11,0;24.0;;;;;;;;;;;;;;
19:11:18,0;;;;;;;;;;;;5.0;;;
19:11:25,0;;;;;;;;;;;;6.0;;;
19:11:32,0;;;;;4.0;;;;;;;;;;
19:11:39,0;;;;;;;;;;15.0;;;;;
19:11:46,0;;;143.0;;;;;;;;;;;;
19:11:53,0;;;;;;;;;;;5.0;;;;
19:12:00,0;;;;;;;;;;;6.0;;;;
19:12:07,0;;;;;;;;;;;5.0;;;;
19:12:14,500;;;149.0;;;;;;;;;;;;
19:12:21,500;23.0;;;;;;;;;;;;;;
19:12:28,500;23.0;;;;;;;;;;;;;;
19:12:35,500;;;;;;;;;;;;;5.0;;
19:12:42,500;;;;;;;;20.0;;;;;;;
19:12:49,500;;;;;;;;;;;5.0;;;;
19:12:56,500;;;;;;;;;;15.0;;;;;
19:13:03,500;;;141.0;;;;;;;;;;;;
19:13:10,500;;;;;;;;;;;;5.0;;;
19:13:17,500;;;;;;;;;;13.0;;;;;
19:13:25,0;;;140.0;;;;;;;;;;;;
19:13:32,0;;;;;;;;;;;;5.0;;;
19:13:39,0;;;;;;;;;;17.0;;;;;
19:13:46,0;;;;;;;;15.0;;;;;;;
19:13:53,0;21.0;;;;;;;;;;;;;;
19:14:00,0;21.0;;;;;;;;;;;;;;
19:14:07,0;;;;;;;;;;;;;;;20.0
19:14:14,0;;;;;;;;;;;5.0;;;;
19:14:21,0;;;;;;;;;;14.0;;;;;
19:14:28,0;;;;;;;;;;;10.0;;;;
19:14:35,500;;;140.0;;;;;;;;;;;;
19:14:42,500;;;;;;;;;;13.0;;;;;
19:14:47,0;33.0;;;;;;;;;;;;;;
19:14:48,0;29.0;;;;;;;;;;;;;;
19:14:49,0;26.0;;;;;;;;;;;;;;
19:14:49,500;;;;;;;;;;12.0;;;;;
19:14:50,0;26.0;;;;;;;;;;;;;;
19:14:51,0;29.0;;;;;;;;;;;;;;
19:14:52,0;25.0;;;;;;;;;;;;;;
19:14:53,0;39.0;;;;;;;;;;;;;;
19:14:54,0;26.0;;;;;;;;;;4.0;;;;
19:14:55,0;24.0;;;;;;;;;;;;5.0;;
19:14:56,0;21.5;;;;;;;;;;;;;;
19:14:56,500;;;;;;;;14.0;;;;;;;
19:14:57,0;20.5;;;;;;;;;;;;;;
