Elapsed time;/;/?SHOPPING_ID;/best-sellers;/buy-confirm;/buy?RETURNING_FLAG=N;/buy?RETURNING_FLAG=Y;/customer-registration?SHOPPING_ID=;/new-products;/order-inquiry;/product-detail;/search;/search?C_ID;/search?searchField=&keyword=&C_ID=;/shopping-cart?ADD_FLAG=N;/shopping-cart?I_ID=&QTY=1&ADD_FLAG=Y
18:47:31,500;527.0;;;;;;;;;;;;;;
18:47:39,0;;;;;;;;330.0;;;;;;;
18:47:46,0;436.0;;;;;;;;;;;;;;
18:47:53,500;;;;;;;;;;;;33.0;;;
18:48:01,0;442.0;;;;;;;;;;;;;;
18:48:08,0;392.0;;;;;;;;;;;;;;
18:48:15,500;;;501.0;;;;;;;;;;;;
18:48:23,0;421.0;;;;;;;;;;;;;;
18:48:30,500;;;491.0;;;;;;;;;;;;
18:48:37,500;;;;;;;;;;;;;;;41.0
18:48:45,0;;32.0;;;;;;;;;;;;;
18:48:52,0;;;472.0;;;;;;;;;;;;
18:48:59,500;;;;;;;;;;239.0;;;;;
18:49:06,500;;;;;;;;;;;;40.0;;;
18:49:13,500;;78.0;;;;;;;;;;;;;
18:49:21,0;;;;;;;;;;232.0;;;;;
18:49:28,0;;;;;;;;;;;;29.0;;;
18:49:35,0;;60.0;;;;;;;;;;;;;
18:49:42,0;;;;;;;;;;235.0;;;;;
18:49:49,500;;;;;;;;;;255.0;;;;;
18:49:56,500;;;;;;;;;;229.0;;;;;
18:50:04,0;;;;;;;;356.0;;;;;;;
18:50:11,500;;;;;;;;340.0;;;;;;;
18:50:18,500;;;;;;;;;;252.0;;;;;
18:50:26,0;;;;;;;;;;;;;38.0;;
18:50:33,500;;;;;;;;785.0;;;;;;;
18:50:41,0;;;;;;;;340.0;;;;;;;
18:50:48,0;;35.0;;;;;;;;;;;;;
18:50:55,500;;;511.0;;;;;;;;;;;;
18:51:02,500;;;;;;;;;26.0;;;;;;
18:51:09,500;;;;;;;;;;;27.0;;;;
18:51:17,0;;;503.0;;;;;;;;;;;;
18:51:24,0;;;;;;;;;;;125.0;;;;
18:51:31,500;;;;;;;;;;259.0;;;;;
18:51:38,500;;;;;;;;;;;;29.0;;;
18:51:45,500;;;;;;;;;;;;63.0;;;
18:51:53,0;;;;;;;;383.0;;;;;;;
18:52:00,0;;;;;;;;;;246.0;;;;;
18:52:07,500;;;;;;;;;;;30.0;;;;
18:52:14,500;;;;;;;;;;;;;57.0;;
18:52:21,500;;;;;;;;370.0;;;;;;;
18:52:29,0;;39.0;;;;;;;;;;;;;
18:52:33,0;455.0;;;;;;;;;;;;;;
18:52:34,0;421.0;;;;;;;;;;;;;;
18:52:35,0;431.0;;;;;;;;;;;;;;
18:52:36,0;470.0;;;;;;;;;;;;;376.0;
18:52:37,0;428.0;;;;;;;;;;;;;;
18:52:38,0;467.0;;;;;;;;;;;;;;
18:52:39,0;426.0;;;;;;;;;;;;;;
18:52:40,0;450.0;;;;;;;;;;;;33.0;;
18:52:41,0;449.0;;;;;;;;;;;;;;
18:52:41,500;406.0;;;;;;;;;;;;;;
18:52:42,0;415.0;;;;;;;;;;;;;;
18:52:42,500;;;453.0;;;;;;;;;;;;
18:52:43,0;413.0;;;;;;;;;;32.0;;;;
18:52:43,500;;;;;;;;;;235.0;;;;;
18:52:44,0;420.0;;;;;;;;;;;;30.0;;
18:52:45,0;407.0;;;;;;;;;;;;;;
18:52:45,500;;;;;;;;;;268.0;;;;;
18:52:46,0;463.0;;;;;;;;;;;;;;
18:52:46,500;;;;;;;;319.0;;;;;;;
18:52:47,0;418.0;;;;;;;;;;;68.0;;;
18:52:47,500;;;445.0;;;;;;;;;;;;
18:52:48,0;438.0;;;;;;;;;;;;;;
18:52:48,500;422.0;;;;;;;;;;;;;;
18:52:49,0;464.0;;;;32.0;;;;;236.0;;;;;
18:52:50,0;436.5;;;;;;;;;;;;;;
18:52:50,500;438.0;59.0;;;;;;;;;;;;;
18:52:51,0;441.0;;;;;;;;;;;;29.0;;
18:52:51,500;444.0;;;;;;;;;;;;;;
18:52:52,0;421.0;;;;;;;;;;;;;;39.0
18:52:52,500;379.0;;;;;;;;;;;;;;
18:52:53,0;429.0;;;;;;;;;;;;;;
18:52:53,500;417.0;;;;;;;;;;;;;;
18:52:54,0;432.5;;;;;;;;;;;;;;
18:52:54,500;;;;;;;;;;346.0;;73.0;;;
18:52:55,0;497.0;;531.0;;;;;;;;;;;;
18:52:55,500;387.0;;;;;;;;;;;;;;
18:52:56,0;430.0;;;;;;;;;;30.0;;67.0;;
18:52:57,0;426.0;;;;;;;;;242.0;;;;;
18:52:57,500;;;;;;;;341.0;;;;37.0;29.0;;
18:52:58,0;439.0;;;;;;;333.0;;;56.0;;;;
18:52:58,500;;;;;;;;351.0;;;;;;;
18:52:59,0;448.0;;;;;;;358.0;;;;;;;
18:52:59,500;442.0;;;;;;;346.0;;;;;;;
18:53:00,0;460.0;;;;;;;;;;;;27.0;;
18:53:00,500;;;;;;;;354.0;;257.0;;;;;
18:53:01,0;433.0;;;;;;;;;;39.0;;28.0;;
18:53:01,500;;;;;;;;363.0;;;59.0;;;;
18:53:02,0;467.0;;;;;;;;;;;;;;
18:53:02,500;441.0;;;;;;;;;297.0;;;;;
18:53:03,0;451.0;;;;;;;363.0;53.0;267.0;;;28.0;;
18:53:03,500;;;;;;;;;;271.5;;;;;
18:53:04,0;432.0;;;;;;;;;;29.0;;;;
18:53:04,500;;58.0;449.0;;;;;;;;27.0;61.0;;;
18:53:05,0;452.0;;;;;;;;;;;31.0;65.0;;
18:53:05,500;434.0;;;;;;;;;;;;;;
18:53:06,0;431.0;;;;;;;;;;;;;;
18:53:06,500;;;489.5;;;;;;;;;;;;42.0
18:53:07,0;444.5;;;;;;;;;;;62.0;;;
18:53:07,500;;;;;;;;;;232.0;;;;;
18:53:08,0;468.0;;;;;;;;;;;;42.0;;
18:53:08,500;467.0;;;;;;;356.0;;278.0;;;;;
18:53:09,0;419.0;;;;;;;;;;29.0;;;;
18:53:09,500;;;463.0;;;;;;;;33.0;;;;
18:53:10,0;444.5;;;;;;;;;;45.0;34.0;;;
18:53:10,500;418.0;;;;;;;;;287.0;;;;;
18:53:11,0;448.5;;;;;;;;;;;;55.0;;
18:53:11,500;;;;;;;;;;320.0;;;;;
18:53:12,0;485.5;;521.0;;;;;369.0;;296.0;;33.0;;;
18:53:12,500;;;;;;;;;;;;44.0;;;
