Elapsed time;/;/?SHOPPING_ID;/best-sellers;/buy-confirm;/buy?RETURNING_FLAG=N;/buy?RETURNING_FLAG=Y;/customer-registration?SHOPPING_ID=;/new-products;/order-inquiry;/product-detail;/search;/search?C_ID;/search?searchField=&keyword=&C_ID=;/shopping-cart?ADD_FLAG=N;/shopping-cart?I_ID=&QTY=1&ADD_FLAG=Y
14:29:42,500;10137.0;;;;;;;;;;;;;;
14:29:50,0;27.0;;;;;;;;;;;;;;
14:29:57,0;;;;;;;;;;;;6.0;;;
14:30:04,0;;;;;;;;;;17.0;;;;;
14:30:11,0;27.0;;;;;;;;;;;;;;
14:30:18,0;;;;;;;;;;;;6.0;;;
14:30:30,0;;;;;;;;;;;5009.0;;;;
14:30:42,0;5029.0;;;;;;;;;;;;;;
14:30:49,0;;;;;;;;;;28.0;;;;;
14:30:56,0;;;;;;;;;;14.0;;;;;
14:31:03,0;;;;;;;;;;;;;5.0;;
14:31:20,0;10055.0;;;;;;;;;;;;;;
14:31:27,0;;;;;;;;;;14.0;;;;;
14:31:34,0;;;;;;;;;;;6.0;;;;
14:31:41,0;;;;;;;;;;;;;7.0;;
14:31:58,500;10034.0;;;;;;;;;;;;;;
14:32:05,500;;;;;;;;17.0;;;;;;;
14:32:12,500;23.0;;;;;;;;;;;;;;
14:32:19,500;;;;;;;;;;;;5.0;;;
14:32:36,500;10035.0;;;;;;;;;;;;;;
14:32:43,500;;;;;4.0;;;;;;;;;;
14:32:50,500;;;208.0;;;;;;;;;;;;
14:32:57,500;;;;;;;;;;;;4.0;;;
14:33:14,500;;;;;;;;;;10024.0;;;;;
14:33:21,500;;;;;;;;;;;;;5.0;;
14:33:28,500;;;;;;;;;;;;;6.0;;
14:33:36,0;;;;;;;;;;16.0;;;;;
14:33:43,0;;;;;;;;;2.0;;;;;;
14:33:50,0;;;;;;;;;2.0;;;;;;
14:33:57,0;;;;;;;;;;;;;5.0;;
14:34:14,0;;;;;;;;;;10026.0;;;;;
14:34:21,0;;;;;;;;;;;;;5.0;;
14:34:28,0;;;206.0;;;;;;;;;;;;
14:34:34,0;27.0;;;;;;;;;;;;;;
14:34:35,0;22.0;;;;;;;;;;;;;;
14:34:36,0;27.0;;;;;;;;;;;;;;
14:34:37,0;25.0;;;;;;;;;;;;;;
14:34:38,0;24.0;;;;;;;;;;;;;;
14:34:41,500;22.0;;;;;;;;;;;;;;
14:34:42,0;22.0;;;;;;;;;;;5.0;;;
14:34:43,500;;;;;;;;;;17.0;;;;;
14:34:44,0;;;;;3.0;;;;;;;;;;
14:34:49,500;4719.384615384615;;204.0;;;;;;;;;5.0;;;
14:34:50,0;22.0;;;;;;;;;;;;;;
14:34:50,500;;;;;;;;;;13.0;;;;;
14:34:51,0;28.0;;;;;;;;;;;;;;
14:34:51,500;20.0;;;;;;;;;;;;;;
14:34:52,0;26.0;;;;;;;;;;;;;;
14:34:53,0;21.0;;;;;;;;;;;;;;
14:34:54,0;24.0;;;;;;;;;;;;;;
14:34:55,0;31.0;;;;;;;;;;;;;;
14:34:56,0;23.0;;;;;;;;;;;;;;
14:34:56,500;50.5;;262.0;;;;;17.0;;45.25;42.0;;37.25;;
14:34:57,0;20.0;;;;;;;;;;;;;;
14:34:57,500;;;236.0;;;;;;;;;;;;
14:34:58,0;23.0;;;;;;;;;;;;;;
14:34:58,500;19.0;;;;;;;;;;;;5.0;;
14:34:59,0;19.0;;;;;;;15.0;;;;;;;
14:35:00,0;22.0;;;;;;;;;;;;4.0;;
14:35:01,0;21.0;;;;;;;13.0;;;;;;;
14:35:02,0;21.0;;;;;;;;;;;5.0;;;
14:35:03,0;21.0;;;;;;;;;;;;;;
14:35:03,500;21.333333333333332;;213.0;;;;;;;16.8;4.0;8.0;3.0;;
14:35:04,0;21.0;;;;;;;14.0;;;;;;;
14:35:04,500;;;205.0;;;;;;;12.0;;;;;
14:35:05,0;20.0;;;;;;;;;11.0;;;;;
14:35:05,500;19.5;;;;;;;;;;;;;;
14:35:06,0;19.0;;;;;;;;;;;;;;
14:35:06,500;;;;;;;;;;12.0;;;;;
14:35:07,0;21.0;;;;;;;;;;;;4.0;;
14:35:07,500;;;;;;;;;;10.0;;;;;
14:35:08,0;23.0;;;;;;;;;;3.0;;;;
14:35:08,500;18.0;;;;;;;;;;;;;;
14:35:09,0;23.0;;;;;;;;;;4.0;;;;
14:35:09,500;;;;;;;;;;;;;;99.0;
14:35:10,0;18.0;;;;;;;;;;;;;;
14:35:10,500;22.4;;216.0;;;;;27.0;;13.333333333333334;13.0;7.333333333333333;;;88.0
14:35:11,0;23.0;;;;;;;;;;;3.0;;;
14:35:11,500;17.0;;200.0;;;;;;;12.0;;;;;
14:35:12,0;23.0;;;;;;;;;13.0;;;;;
14:35:12,500;18.0;;238.0;;;;;;;;;;;;
14:35:13,0;19.0;;;;;;;;;;;;;;
14:35:13,500;;;207.0;;;;;;;;;;4.0;;
14:35:14,0;21.0;;;;;;;;;;;4.0;;;
14:35:14,500;;;;;;;;;;;;;5.0;;
14:35:15,0;18.0;;;;;;;;;;;;;;
14:35:15,500;;;;;;;;;;;;4.0;;;
14:35:16,0;;;;;;;;;;;;;4.0;;
14:35:16,500;;7.0;;;;;;;;;;;;;
14:35:17,0;;;;;;;;;;;;4.0;;;
14:35:17,500;21.0;;;;;;;;;16.0;4.333333333333333;3.0;4.0;;
14:35:18,0;;;;;;;;14.0;;;;;;;
14:35:18,500;17.0;;;;;;;;;;;;;;
14:35:19,0;17.0;;;;;;;;;;;;;93.0;
14:35:19,500;;;;;;;;;;;1886.0;;;;
14:35:21,0;;;;;;;;;;;;5.0;;;
14:35:22,500;;;;;;;;;;;;;4.0;;
14:35:23,0;;;;;;;;;3.0;;;;;;
14:35:23,500;;;;;;;;;;;4.0;;;;
14:35:24,0;;;;;;;;;2.0;;;;;;
14:35:24,500;3684.6111111111113;;3747.2;;;;;1593.0;;4060.5;;;;2435.3333333333335;
14:35:25,0;21.0;;212.0;;;;;;;;;;;;
14:35:25,500;16.0;;;;;;;;;;;3.0;;;
14:35:26,0;20.0;;;;;;;;;;;7.0;;;
14:35:26,500;;;;;;;;;;;;5.0;;;
14:35:27,0;26.0;;;;;;;;;;;;;;
14:35:28,0;18.0;;;;;;;;;;;;;;
14:35:28,500;;;;;;;;;;;5.0;;;;
14:35:29,0;18.0;;;;;;;;;;;;;;
14:35:29,500;;;;;;;;;;;;;5.0;;
14:35:30,0;20.0;;;;;;;;;;;;;;
14:35:30,500;;;;;;;;;;13.0;4.0;;;;
14:35:31,0;31.0;;;;;;;;;;;;;;
14:35:31,500;41.0;6.0;255.0;;;;;26.333333333333332;1.3333333333333333;30.22222222222222;5.25;8.857142857142858;12.25;;73.0
14:35:32,0;19.0;;202.0;;;;;;;;4.0;;;;
14:35:32,500;;;202.0;;;;;;;11.0;;;;;
14:35:33,0;20.0;;;;;;;;;12.0;;5.0;;;
14:35:33,500;17.0;;;;;;;14.0;;;;;;;
14:35:34,0;20.0;;;;;;;;;;;4.0;;;
14:35:35,0;21.0;;;;;;;;;11.0;;;;;
14:35:35,500;;;;;;;;14.0;;;;;;;
14:35:36,0;22.0;;;;;;;;;10.0;;;;;
14:35:36,500;;;204.0;;;;;;;;;;;;
14:35:37,0;18.0;;;;;;;;;;;;;;
14:35:37,500;;;;;;;;14.0;;;;;4.0;;
14:35:38,0;20.0;;;;;;;;;;;;;;
14:35:38,500;24.625;12.0;262.0;;9.5;;;17.2;1.0;15.5;5.0;4.25;4.5;;92.5
14:35:39,0;17.5;;417.6666666666667;;;;;;;10.5;4.0;;;126.0;
14:35:39,500;;;;;3.0;;;;;;;;4.0;;
14:35:40,0;19.0;;202.0;;;;;;;12.0;3.0;;;;
14:35:40,500;;;;;;;;;;;;4.0;4.0;;
14:35:41,0;19.0;;;;;;;;;14.0;;;;;
14:35:41,500;;;;;4.0;;;;;;;;;;
14:35:42,0;26.0;;;;;;;;;;3.0;;;;
14:35:42,500;;;201.0;;;;;13.0;;;;;;;
14:35:43,0;20.0;;;;;;;;;;;4.0;;;
14:35:43,500;17.0;;;;;;;;;12.0;;;;;
14:35:44,0;21.0;;;;;;;;;;;;;;
14:35:44,500;17.0;;202.0;;;;;;;;;;;121.0;
14:35:45,0;20.0;;;;;;;;;;4.0;;;;
14:35:45,500;21.22222222222222;5.0;250.0;;2.0;;;15.8;;12.833333333333334;4.2;3.6;3.0;82.0;
14:35:46,0;16.5;;;;;;;12.0;;12.0;3.5;3.0;;;
14:35:46,500;17.0;;;;;;;;;14.0;;4.0;;;
14:35:47,0;20.333333333333332;;;;;;;;;;;4.0;;;
14:35:47,500;17.0;;;;;;;;;;;5.0;;;
14:35:48,0;20.0;;;;;;;;;10.0;;;;;
14:35:48,500;17.0;;;;;;;;;;4.0;;;;
14:35:49,0;20.0;;;;3.0;;;;;;;4.0;;;
14:35:49,500;;;;;;;;14.0;;;4.0;;;;
14:35:50,0;;;;;;;;;;;;4.0;;;
14:35:50,500;;;202.0;;;;;;;;;4.0;;;
14:35:51,0;18.0;;;;;;;;;;;;;;
14:35:51,500;;5.0;;;;;;;;14.0;3.0;;;;
14:35:52,0;;;;;;;;;;;3.0;;;;
14:35:52,500;17.2;5.5;237.0;;;;2.0;13.0;;11.333333333333334;3.0;4.333333333333333;4.25;;
14:35:53,0;15.5;;241.0;;;;;13.0;;13.0;;;7.0;;
14:35:53,500;;;201.0;;;;;;;11.0;;10.0;;;
14:35:54,0;;;;;;;;13.0;;;;;;;
14:35:54,500;;;;;;;;;1.0;;4.0;;;;
14:35:55,0;;;;;;;;;;;;1832.5;;;
14:35:55,500;;;;;;;;;;;837.6666666666666;2353.0;2490.0;;
14:35:56,0;;;;;;;;;;;;4.0;;;
14:35:56,500;;;;;;;;;;;;;4.0;;
14:35:58,500;;5.5;;;;;;;;;;;4.0;;
14:35:59,500;4557.166666666667;;5309.4;;3.0;;1.0;3499.5;;2214.818181818182;3.5;3.0;4.5;7047.0;
14:36:00,0;17.0;;245.0;;;;;;1.0;9.0;3.0;3.0;4.0;;
14:36:00,500;16.25;;;;;;;;;;;;;;
14:36:01,0;16.0;;;;;;;;;;4.0;;;;
14:36:01,500;;;;;;;;;;10.0;;5.0;;;
14:36:02,0;19.0;;;;;;;;;;;4.0;;;
14:36:02,500;16.5;;204.0;;;;;;;10.5;10.0;;12.0;;84.0
14:36:03,0;19.0;;;;;;;;;;;;;;
14:36:03,500;;;;;;;;;;11.0;5.0;;;;
14:36:04,0;19.0;;;;;;;;;;;;;;
14:36:05,0;20.0;;;;;;;;;;;;;;
14:36:05,500;17.0;;;;;;;;;11.0;;4.0;;;
14:36:06,0;19.0;;;;;;;;;;;;;;
14:36:06,500;37.22222222222222;6.0;;4.0;3.0;;;19.285714285714285;1.0;24.555555555555557;9.333333333333334;10.5;8.666666666666666;;
14:36:07,0;31.0;18.0;;;;;;;1.0;15.6;;;4.0;;119.0
14:36:07,500;31.333333333333332;;942.5;;;;;;;;;;4.0;;
14:36:08,0;17.0;;;;;;;;;;;3.0;;;
14:36:08,500;16.0;;;;;;;;;10.0;;;4.0;;
14:36:09,0;18.0;;;;;;;;;;;;;;
14:36:09,500;20.0;5.0;239.5;;;;;;;10.0;3.5;;4.0;;83.0
14:36:10,0;19.0;;;;;;;;;;;;;;
14:36:10,500;;;202.0;;;;;;;11.0;;;4.0;;
14:36:11,0;17.5;;;;;;;;;;;;;;
14:36:12,0;19.0;;;;;;;;;13.0;;;;;
14:36:12,500;;;201.0;;;;;;;9.0;;;4.0;;
14:36:13,0;16.5;;;;;;;;;;;;;;
14:36:13,500;21.1;5.0;;3.0;2.0;;;14.6;;11.75;4.666666666666667;3.0;3.5714285714285716;;
14:36:14,0;19.6;5.0;473.5;;;;;;;11.5;3.0;3.0;;94.0;
14:36:14,500;15.333333333333334;;202.0;;;;;12.0;;;3.5;3.5;3.5;;
14:36:15,0;18.0;;;;;;;;;10.0;;;4.0;;
14:36:15,500;15.0;;;;;;;13.0;;11.0;;;;;
14:36:16,0;17.0;;;;;;;;;;;;4.0;;
14:36:16,500;17.0;;;;2.0;;;12.5;;8.0;3.0;4.5;3.6666666666666665;;
14:36:17,0;20.0;;;;;;;;;;;;4.0;;
14:36:17,500;;;;;;;;;;10.0;;5.0;3.0;;
14:36:18,0;17.0;;;;;;;;;;;;;;
14:36:18,500;;;;;;;;;;10.0;;;;;
14:36:19,0;18.0;;;;;;;13.0;;;;;;;
14:36:19,500;16.0;;;;;;;13.0;;11.0;;;;;
14:36:20,0;17.0;;;;;;;;;;;;4.0;;
14:36:20,500;24.0;7.0;;;;;2.0;19.166666666666668;1.0;12.666666666666666;5.75;20.5;6.0;;
14:36:21,0;18.0;;478.3333333333333;;;;;11.666666666666666;;12.666666666666666;4.0;;;;93.0
14:36:21,500;15.5;;459.0;;3.0;;;12.25;;12.0;3.0;4.0;;;
14:36:22,0;19.0;;203.0;;;;;;;9.0;;5.0;;;
14:36:22,500;15.0;;200.0;;;;;;;;;4.0;3.0;;
14:36:23,0;15.5;;;;;;;;;;;;;;
14:36:23,500;15.0;5.0;205.0;;;;;13.0;;14.333333333333334;4.5;;6.0;;
14:36:24,0;18.0;;;;3.0;;;;;;;;;;
14:36:24,500;17.0;;;;;;;17.0;;;;;;;
14:36:25,0;19.0;;200.0;;;;;;;;;4.0;;;
14:36:25,500;;;;;;;;;;;4.0;3.0;;;
14:36:26,0;;;;;;;;;;9.0;;;;;
14:36:26,500;15.0;;;;;;;12.0;;;3.0;3.5;;;
14:36:27,500;16.0;5.0;;;2.0;2.0;;14.0;2.0;12.0;4.0;3.3333333333333335;4.0;95.0;
14:36:28,0;15.8;4.0;274.0;;;;;13.5;1.0;10.666666666666666;3.5;3.75;5.0;;85.0
14:36:28,500;16.0;;200.0;;;;;;;10.0;;3.0;3.0;;89.0
14:36:29,0;15.0;;;;;;;;;9.0;;;;;
14:36:29,500;;;;;;;;12.0;;9.5;;;4.0;;
14:36:30,0;;;;;;;;;;;;3.0;;;
14:36:30,500;;4.0;;;;;;;;;3.0;;4.0;;
14:36:31,0;;;;;3496.0;;;;825.0;;3552.0;;3108.5;;
14:36:31,500;;3295.0;;;;;;;;;5.0;2574.0;;;
14:36:32,0;;;;;;;;;;;;4.0;;;
14:36:32,500;;;;;;;;;;;4.0;;;;
14:36:33,0;;;;;;;;;;;;;4.0;;
14:36:33,500;;6.0;;;;;;;;;;4.0;;;
14:36:34,500;;5.0;;3.0;;;;;2.0;;3.8;4.0;3.5;;
14:36:35,0;;4.5;;;;;;;1.0;;4.0;3.6666666666666665;;;
14:36:35,500;3959.75;;2188.714285714286;;;;;2191.75;;2369.529411764706;4.0;;6.333333333333333;3039.6666666666665;
14:36:36,0;15.5;;;;2.0;;;;;;;;;;
14:36:36,500;14.5;;197.0;;;;;;;13.0;;;;;
14:36:37,0;24.0;;;;;;;;;;;;;;
14:36:37,500;16.0;6.0;;;;;;14.0;2.0;13.0;;;;;
14:36:38,0;19.0;;;;;;;;;9.0;;;5.0;;
14:36:38,500;20.0;;257.5;;;;;10.0;;15.0;5.0;;;;
14:36:39,0;39.0;;;;;;;;;;;;;;
14:36:39,500;;;;;5.0;;;19.0;;;;;;;
14:36:40,0;18.0;;;;;;;;;;;;;;
14:36:40,500;;4.0;;;;;;;;11.0;4.0;;;;
14:36:41,0;19.0;;;;;;;;;;;;;;
14:36:41,500;;6.5;;;3.0;;;13.0;1.0;10.5;3.8;;;;
14:36:42,0;16.0;4.0;;;;;;;;9.0;;3.5;;;
14:36:42,500;47.28571428571428;4.0;209.0;;3.0;;;22.142857142857142;1.0;36.9375;3.8181818181818183;4.5;41.75;168.66666666666666;204.0
14:36:43,0;17.0;;573.2;;;;;12.0;;;;;4.0;;
14:36:43,500;14.0;;;;;;;;1.0;9.0;;4.0;4.0;;
14:36:44,0;18.0;;;;;;;;;;4.0;;;;
14:36:44,500;;5.0;200.0;;;;;;;10.0;;3.0;3.0;;
14:36:45,0;19.0;;;;;;;;;;;4.0;3.0;;
14:36:45,500;;5.0;;;;;;;;;3.5;5.0;4.0;135.0;163.0
14:36:46,0;19.0;;;;;;;;;;;;;;
14:36:46,500;15.0;;;;;;;;;;;3.0;;;82.0
14:36:47,0;18.0;;;;;;;;;;;;3.0;;
14:36:47,500;;5.0;;;;;;13.0;;;;;;;
14:36:48,0;17.0;;;;;;;;;;3.0;;;;
14:36:48,500;15.5;4.333333333333333;;;2.0;;;12.333333333333334;;;3.0;;3.5;;
14:36:49,0;16.5;;198.0;;;;;12.0;;13.5;;3.0;;96.0;85.0
14:36:49,500;29.8125;5.5;;;;;;20.4;;18.666666666666668;9.363636363636363;8.4;8.25;181.5;86.0
14:36:50,0;18.6;;418.0;;;;;12.333333333333334;;;11.5;3.0;;;
14:36:50,500;22.0;;976.5;;;;;;1.0;;;;4.0;;
14:36:51,0;24.0;;;;;;;;;;4.0;;;;
14:36:51,500;;5.0;200.5;;;;;13.0;;9.0;;3.0;;;
14:36:52,0;17.0;;;;;;;;2.0;;;;3.5;;
14:36:52,500;16.0;;;;;;;;;9.0;;;4.0;;93.5
14:36:53,0;21.0;;;;;;;;;;;;;;71.0
14:36:53,500;15.0;;200.0;;;;;;;10.0;;3.0;;;
14:36:54,0;18.0;;;;;;;12.0;;;;;3.0;;
14:36:54,500;;;;;;;;;;12.0;;3.0;;;
14:36:55,0;16.0;;;;;;;11.0;;;;;;;
14:36:55,500;14.0;4.0;;;;;;;;9.333333333333334;3.0;4.0;3.5;;
14:36:56,0;17.0;4.666666666666667;198.0;;;;;12.0;;9.0;4.0;4.0;;;
14:36:56,500;24.375;6.0;201.0;;;;;20.0;1.0;14.375;3.4444444444444446;5.5;3.7142857142857144;;
14:36:57,0;16.0;9.333333333333334;401.8;;3.0;;;14.666666666666666;;9.5;3.0;4.0;;;346.0
14:36:57,500;14.666666666666666;;;;;;;22.25;;10.0;;3.0;4.0;;97.0
14:36:58,0;16.0;;;;;;;;;;;;;;
14:36:58,500;14.333333333333334;4.0;;;;;;;;;3.0;4.0;;95.0;
14:36:59,0;17.0;;;;;;;12.0;;;;;;;
14:36:59,500;15.333333333333334;4.0;;;;;;11.0;;9.0;3.0;4.0;4.0;;
14:37:00,0;16.0;;;;;;;;;9.5;;;;;
14:37:00,500;14.5;;;;;;;13.0;;8.0;;;;;
14:37:01,0;16.0;;;;;;;;;;;3.0;;;
14:37:01,500;;;;;;;;;1.0;;;;;96.0;87.0
14:37:02,0;;;;;;;;;;;;;3.0;;
14:37:02,500;15.333333333333334;5.0;;;;;;11.0;;13.0;;;4.0;;
14:37:03,0;14.5;4.333333333333333;;;;;;12.0;;13.0;;;3.0;;
14:37:03,500;19.857142857142858;;;;;;;13.333333333333334;;10.6;3.75;4.0;4.0;91.0;
14:37:04,0;16.0;;608.5;;;;;16.333333333333332;;9.4;3.0;7.0;5.0;;
14:37:04,500;15.0;;657.25;;3.0;;;;;9.0;3.0;2.5;3.5;76.0;
14:37:05,0;;;206.0;;;;;;;9.0;;;;;
14:37:05,500;;;;;;;;;;;3.0;3.0;4.0;;75.0
14:37:06,500;;2468.0;;;2790.0;;;;2910.0;;2562.6;1058.2857142857142;3523.0;;2475.5
14:37:07,0;;;;;;;;;;;;3.0;;;
14:37:07,500;;;;;;;;;;;;3.0;;;
14:37:08,500;;4.0;;;;;;;;;;;;;
14:37:09,500;;4.0;;;;;;;;;;3.0;8.0;;
14:37:10,0;;4.0;;;;;;;;;3.0;3.0;3.0;;
14:37:10,500;4111.346153846154;5.0;4210.142857142857;;;;;3389.125;;4074.3333333333335;3.25;3.4;3.0;4411.0;91.0
14:37:11,0;16.166666666666668;5.0;222.5;;;;;11.0;;8.5;2.5;3.0;3.0;;
14:37:11,500;14.0;16.0;372.5;;;;;14.0;;10.5;3.5;3.0;3.0;116.0;
14:37:12,0;18.0;;;;;;;;;9.0;3.0;;;;
14:37:12,500;15.0;;;;;;;;;21.0;;;;;
14:37:13,0;17.0;;203.0;;;;;;;;;;;;
14:37:13,500;17.75;6.25;203.0;;;;;14.0;;14.0;4.5;4.0;5.0;;
14:37:14,0;16.0;;;;;;;13.0;;;;;;;
14:37:14,500;;;;;;;;82.0;;;;;;;
14:37:15,0;18.0;;;;;;;;;;;;;;
14:37:15,500;;5.0;;;;;;;;;;;;;
14:37:16,0;18.0;;;;;;;;;;;;;;
14:37:16,500;15.0;;;;;;;;;;3.0;;;;
14:37:17,0;16.5;;;;;;;12.5;;11.666666666666666;;;;;
14:37:17,500;29.666666666666668;9.0;;;1.5;;1.0;31.6;2.0;20.666666666666668;12.454545454545455;10.428571428571429;15.0;;112.0
14:37:18,0;54.69230769230769;14.0;320.0;;;;;63.166666666666664;;44.42857142857143;;3.0;9.666666666666666;134.0;
14:37:18,500;17.0;4.0;738.0;;;;0.0;13.0;;8.2;3.0;3.3333333333333335;;;
14:37:19,0;16.0;;;;2.0;;;;;;;;;;
14:37:19,500;14.5;;;;;;;;;12.0;3.0;;;;
14:37:20,0;15.0;;;;;;;;;;;3.0;;;
14:37:20,500;22.0;7.6;345.0;;;;;14.666666666666666;;9.0;3.5;5.2;3.5;;
14:37:21,0;16.5;;392.0;;;;;;;;;3.0;;;
14:37:21,500;;;;;;;;;;;3.0;;;;
14:37:22,0;18.0;;;;;;;;;9.0;;;;;
14:37:22,500;;;;;;;;;;;3.0;;;;
14:37:23,0;18.0;;;;;;;;;13.0;;;;;
14:37:23,500;;5.0;;;;;;;;;;;;;80.0
14:37:24,0;15.5;;202.0;;;;;12.0;;9.0;;3.0;3.0;;
14:37:24,500;16.4;;;;2.0;;;11.0;1.0;13.4;5.0;8.4;3.5;;
14:37:25,0;44.55555555555556;6.0;;;2.0;;;45.22222222222222;;22.5;11.0;2.5;4.8;262.0;128.5
14:37:25,500;50.666666666666664;;672.0;;;1.0;;11.0;;21.666666666666668;18.5;15.666666666666666;15.25;;
14:37:26,0;46.0;;1380.2;;;;;;;16.0;;;;;171.0
14:37:26,500;;;1299.875;;;;;12.0;;;6.0;18.0;3.0;;
14:37:27,0;19.666666666666668;;;;;;;;;;;3.0;;;
14:37:27,500;15.0;5.0;;;;;;;1.0;14.8;3.0;4.0;3.0;260.0;
14:37:28,0;16.0;5.0;599.8;;;;;19.0;;;;;;;
14:37:28,500;13.0;;;;;;;;;9.0;;;;;
14:37:29,0;16.0;;;;;;;15.0;;;;;;;
14:37:29,500;;;200.0;;;;;;;;;4.0;;;
14:37:30,0;16.0;;;;;;;;;;;3.0;;;
14:37:30,500;;4.0;203.0;;;;;;;9.0;;;;;
14:37:31,0;15.0;;;;;;;13.5;1.0;14.0;;;3.0;;
